Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Building,Wall,394.03,22.4,21.88,High,High,None,UAV,Corrosion
Tunnel,Wall,310.88,33.6,67.58,Low,High,None,Ground,Crack
Tunnel,Column,174.21,16.11,70.72,High,High,None,UAV,Crack
Road,Deck,437.57,34.29,56.3,Low,Normal,None,Fixed Camera,Healthy
Tunnel,Deck,11.39,43.64,90.46,Medium,Normal,None,Ground,Crack
Tunnel,Wall,117.21,12.26,11.99,Low,Low,Partial,Fixed Camera,Crack
Building,Wall,285.61,48.96,18.54,Medium,High,Partial,Fixed Camera,Deformation
Bridge,Beam,179.01,19.63,43.44,Low,Normal,None,Fixed Camera,Corrosion
Road,Deck,307.14,13.73,13.54,Low,Normal,Severe,UAV,Deformation
Road,Column,16.93,21.36,57.06,Low,Normal,Severe,UAV,Healthy
Building,Deck,62.65,5.17,40.44,Low,Low,Partial,Fixed Camera,Deformation
Building,Beam,67.91,6.72,29.17,High,High,Partial,UAV,Corrosion
Tunnel,Wall,98.7,21.01,17.83,High,Low,Partial,Fixed Camera,Spalling
Road,Wall,232.37,38.24,34.2,High,High,Severe,UAV,Spalling
Bridge,Beam,377.3,45.07,61.19,Low,High,Partial,UAV,Corrosion
Building,Column,453.24,33.41,58.0,Medium,Normal,Severe,UAV,Crack
Bridge,Wall,418.51,5.71,17.2,Medium,Normal,Partial,Ground,Corrosion
Bridge,Surface,102.46,33.76,13.37,High,Normal,Severe,UAV,Crack
Road,Wall,223.37,31.95,3.64,Medium,Normal,Partial,Ground,Healthy
Road,Surface,103.71,40.39,2.23,High,Normal,Partial,Ground,Deformation
Building,Beam,135.91,41.35,88.1,High,High,Severe,Ground,Crack
Road,Beam,254.26,43.48,5.46,High,Normal,Partial,Fixed Camera,Corrosion
Road,Wall,38.71,21.0,73.39,Low,Normal,None,UAV,Healthy
Road,Deck,113.0,35.04,87.33,Low,Low,Severe,Fixed Camera,Corrosion
Bridge,Surface,468.01,13.78,10.71,Medium,Low,Partial,Ground,Deformation
Building,Column,235.73,49.97,44.19,Medium,High,Severe,UAV,Corrosion
Tunnel,Wall,225.47,9.18,96.27,Low,High,Partial,Fixed Camera,Healthy
Bridge,Column,12.21,1.0,83.58,Low,Low,None,Ground,Deformation
Road,Wall,127.46,7.87,49.48,High,Low,Partial,Fixed Camera,Crack
Bridge,Deck,433.81,38.91,76.49,Medium,Normal,Partial,Fixed Camera,Corrosion
Road,Deck,86.49,22.62,83.5,Low,Normal,None,UAV,Spalling
Road,Deck,210.49,22.65,35.45,Medium,High,Severe,UAV,Healthy
Bridge,Deck,12.09,47.77,89.32,Medium,Low,Partial,Fixed Camera,Crack
Building,Beam,241.78,46.02,47.58,High,High,Partial,UAV,Spalling
Road,Beam,15.41,15.9,53.25,Low,Normal,None,UAV,Corrosion
Building,Surface,410.71,10.85,99.97,Medium,High,Severe,Fixed Camera,Healthy
Tunnel,Column,413.3,42.5,84.49,Medium,High,Severe,UAV,Deformation
Road,Wall,394.93,45.35,36.82,Low,High,None,UAV,Corrosion
Building,Wall,145.27,27.31,2.02,High,Normal,None,Ground,Crack
Building,Beam,419.43,31.66,62.99,Low,High,Partial,UAV,Crack
Tunnel,Wall,273.78,13.22,70.69,Low,Normal,None,Ground,Spalling
Building,Beam,190.04,40.14,65.43,Medium,Low,None,Fixed Camera,Corrosion
Building,Surface,314.54,31.79,96.82,Low,High,None,Ground,Corrosion
Tunnel,Column,11.11,25.42,86.43,Low,High,Severe,Fixed Camera,Healthy
Road,Surface,75.77,3.48,45.43,High,Normal,None,UAV,Corrosion
Building,Deck,372.44,45.84,7.22,Low,High,Partial,UAV,Deformation
Building,Deck,125.86,30.96,48.13,High,Normal,Partial,Ground,Crack
Building,Deck,301.01,10.04,69.24,Medium,High,Partial,Fixed Camera,Crack
Bridge,Surface,195.63,30.52,61.16,Low,Low,None,UAV,Corrosion
Tunnel,Wall,428.13,34.03,54.28,Low,Low,Severe,Ground,Spalling
Bridge,Column,476.45,26.53,47.41,Medium,Low,None,Ground,Spalling
Tunnel,Deck,442.36,36.05,30.08,Medium,High,None,Ground,Healthy
Road,Deck,138.96,29.28,28.46,Low,High,Partial,UAV,Corrosion
Road,Deck,101.11,47.41,50.52,Low,Low,None,Fixed Camera,Corrosion
Building,Column,239.85,3.16,16.9,High,Low,Severe,UAV,Healthy
Tunnel,Deck,8.63,5.76,34.73,Low,Normal,Partial,UAV,Corrosion
Road,Column,17.78,9.1,33.07,High,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,278.88,34.66,59.13,Medium,Low,Severe,Ground,Crack
Road,Surface,262.62,32.46,7.6,Medium,Low,Severe,UAV,Deformation
Bridge,Surface,497.32,44.66,83.14,Low,High,None,Ground,Deformation
Road,Column,104.91,36.78,56.68,Low,Low,None,Ground,Crack
Bridge,Surface,132.76,25.66,67.41,High,Normal,None,Fixed Camera,Corrosion
Road,Column,61.2,49.6,70.61,Low,Normal,None,Fixed Camera,Deformation
Building,Surface,459.18,13.67,29.86,Low,Normal,Partial,Fixed Camera,Healthy
Bridge,Surface,390.02,41.74,47.57,Medium,Normal,None,Ground,Corrosion
Road,Column,412.06,21.63,95.67,Low,Normal,Partial,Ground,Healthy
Building,Wall,451.87,32.61,76.9,Medium,Normal,Severe,UAV,Corrosion
Bridge,Surface,264.83,36.5,96.99,High,Low,Partial,Ground,Crack
Building,Deck,228.34,31.87,74.88,Medium,Normal,None,Fixed Camera,Crack
Tunnel,Wall,168.54,7.46,18.38,High,Normal,Partial,Fixed Camera,Corrosion
Tunnel,Column,296.66,22.43,7.39,High,Normal,None,Fixed Camera,Corrosion
Bridge,Wall,229.87,28.29,58.19,Low,Normal,None,Fixed Camera,Healthy
Road,Beam,228.52,42.53,36.42,Low,Low,Partial,Ground,Crack
Bridge,Beam,468.78,22.46,28.27,Medium,High,Partial,Fixed Camera,Corrosion
Building,Surface,492.1,45.98,80.91,Medium,High,Severe,UAV,Crack
Road,Surface,399.26,22.3,37.33,Low,High,Severe,Ground,Deformation
Tunnel,Deck,379.6,27.66,32.38,High,High,Severe,Fixed Camera,Healthy
Road,Wall,341.88,39.92,85.15,Medium,Normal,Severe,UAV,Crack
Tunnel,Beam,87.21,29.36,84.78,Low,High,Severe,Fixed Camera,Corrosion
Road,Surface,34.26,48.03,36.28,Medium,High,Partial,Ground,Crack
Road,Wall,346.91,33.19,83.42,Low,Low,Severe,Ground,Corrosion
Road,Surface,365.75,26.37,85.23,High,Low,Partial,UAV,Crack
Building,Surface,28.25,1.67,42.97,Medium,Low,Severe,Ground,Spalling
Building,Beam,464.39,20.98,7.58,Low,Normal,None,UAV,Deformation
Bridge,Beam,50.11,15.31,1.16,Low,Normal,Severe,Fixed Camera,Spalling
Bridge,Surface,146.52,37.53,52.81,High,Normal,None,Ground,Crack
Tunnel,Column,337.83,10.81,35.06,Medium,Low,Partial,Fixed Camera,Corrosion
Building,Surface,89.09,10.66,99.72,High,High,Severe,Fixed Camera,Spalling
Tunnel,Surface,32.43,9.88,77.47,Low,Low,Partial,Ground,Spalling
Bridge,Deck,168.92,6.72,76.37,Low,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,384.16,15.89,95.57,Low,Low,Partial,UAV,Deformation
Bridge,Deck,209.77,44.35,88.88,Medium,High,Severe,UAV,Corrosion
Building,Column,328.22,38.86,32.5,Low,Normal,Severe,UAV,Crack
Road,Column,291.91,36.89,17.43,Low,High,None,Ground,Crack
Building,Surface,16.0,39.97,74.84,Medium,High,Partial,Fixed Camera,Healthy
Tunnel,Deck,494.33,13.84,38.45,Medium,Normal,Partial,Fixed Camera,Corrosion
Tunnel,Column,25.51,44.43,47.84,Low,High,Partial,Fixed Camera,Healthy
Building,Beam,484.06,7.3,63.41,Medium,Low,Partial,Fixed Camera,Corrosion
Building,Surface,277.18,17.15,90.88,Medium,High,Partial,UAV,Corrosion
Bridge,Wall,481.76,29.54,42.49,Low,High,None,Ground,Deformation
Tunnel,Surface,61.8,5.59,78.55,Low,High,Severe,UAV,Crack
Tunnel,Wall,247.75,36.64,27.57,Low,Low,None,UAV,Corrosion
Building,Deck,88.9,19.67,70.1,Medium,High,Partial,Ground,Corrosion
Road,Wall,30.23,39.33,1.16,High,High,Partial,Ground,Healthy
Tunnel,Deck,310.68,24.9,87.28,Low,Low,Severe,UAV,Spalling
Road,Beam,107.85,9.45,4.01,Low,Normal,None,Fixed Camera,Corrosion
Building,Wall,295.91,36.87,71.56,High,Normal,Severe,Ground,Crack
Building,Surface,60.62,12.98,5.58,High,Normal,Severe,Ground,Spalling
Bridge,Deck,169.33,24.8,27.36,Medium,High,None,UAV,Crack
Tunnel,Surface,391.91,4.24,50.22,High,Normal,Severe,Fixed Camera,Crack
Road,Column,221.34,31.08,42.57,Medium,Low,None,Ground,Corrosion
Bridge,Deck,315.73,33.46,19.99,Medium,High,None,UAV,Spalling
Tunnel,Wall,325.49,19.24,34.05,Low,High,Partial,Ground,Corrosion
Bridge,Deck,422.66,47.74,73.04,Medium,High,Severe,Fixed Camera,Spalling
Building,Surface,165.84,43.77,67.26,Low,Normal,Partial,UAV,Spalling
Tunnel,Beam,345.21,35.54,8.11,High,Normal,Severe,UAV,Healthy
Bridge,Deck,481.0,35.83,74.98,High,Normal,Severe,Fixed Camera,Deformation
Bridge,Wall,366.47,12.99,6.25,Medium,High,Partial,UAV,Corrosion
Road,Column,247.49,33.01,54.75,Low,Low,Partial,Fixed Camera,Deformation
Bridge,Beam,317.21,10.31,26.75,Low,High,Partial,UAV,Healthy
Tunnel,Column,371.14,7.63,59.18,Low,Low,None,Fixed Camera,Corrosion
Tunnel,Deck,308.08,49.97,26.87,Low,High,Severe,Ground,Corrosion
Road,Surface,13.25,31.31,98.51,Medium,Low,None,Ground,Crack
Tunnel,Surface,101.41,21.83,31.66,High,High,Severe,Ground,Healthy
Building,Wall,406.18,14.76,24.95,Low,High,Severe,UAV,Crack
Tunnel,Surface,139.96,30.39,28.57,Low,Low,None,Fixed Camera,Crack
Tunnel,Beam,367.12,2.95,89.75,Medium,Low,None,Fixed Camera,Spalling
Bridge,Surface,189.2,5.19,63.99,Low,Low,Severe,Ground,Deformation
Bridge,Wall,263.33,2.13,73.34,High,Low,Partial,Ground,Corrosion
Tunnel,Deck,38.65,25.21,91.88,Low,Low,Partial,Ground,Deformation
Road,Deck,94.71,30.23,91.28,Low,Low,Partial,Fixed Camera,Deformation
Bridge,Surface,478.81,3.59,74.16,Low,Low,Partial,Ground,Corrosion
Road,Column,445.62,36.2,20.58,Low,Low,Severe,UAV,Spalling
Tunnel,Deck,327.88,11.9,84.49,Medium,High,Partial,Ground,Spalling
Tunnel,Surface,232.52,34.42,21.17,Low,Low,Partial,Ground,Healthy
Building,Wall,339.5,49.1,74.55,Medium,Low,Partial,Fixed Camera,Deformation
Bridge,Surface,311.21,34.71,68.87,Medium,High,Severe,UAV,Healthy
Tunnel,Deck,286.43,44.22,76.13,Low,High,None,Fixed Camera,Crack
Building,Wall,34.29,47.44,53.74,Low,Normal,Partial,UAV,Corrosion
Bridge,Surface,318.24,24.59,64.23,Medium,Normal,Severe,UAV,Crack
Tunnel,Beam,385.62,35.27,95.38,Medium,Low,Severe,Ground,Corrosion
Tunnel,Wall,497.07,42.67,11.01,High,Low,Partial,Ground,Healthy
Bridge,Beam,10.48,18.15,31.58,Low,Normal,None,Fixed Camera,Corrosion
Bridge,Column,366.44,13.44,61.52,Low,Normal,None,Fixed Camera,Crack
Bridge,Wall,288.04,47.36,96.44,Low,Low,None,Fixed Camera,Crack
Tunnel,Beam,219.86,36.45,10.46,Medium,Normal,Severe,UAV,Corrosion
Tunnel,Deck,68.15,11.37,3.23,Medium,Low,Partial,Fixed Camera,Crack
Building,Deck,207.5,22.73,6.52,High,High,Partial,UAV,Corrosion
Road,Column,180.42,39.92,6.19,Medium,High,Severe,UAV,Deformation
Bridge,Wall,154.9,27.58,90.87,Low,Normal,Partial,UAV,Corrosion
Tunnel,Wall,366.79,32.67,72.4,Medium,High,Partial,UAV,Spalling
Tunnel,Wall,351.86,37.81,68.03,High,High,None,UAV,Spalling
Bridge,Column,296.56,31.29,52.73,Low,High,Partial,Ground,Deformation
Road,Wall,469.64,27.23,78.41,Medium,High,Partial,UAV,Crack
Bridge,Deck,178.18,37.61,16.41,High,Low,Severe,UAV,Healthy
Road,Beam,125.68,36.51,39.8,Medium,Low,Severe,Ground,Spalling
Tunnel,Deck,329.67,31.68,49.51,Medium,Normal,None,Ground,Crack
Road,Deck,103.41,18.31,11.93,Low,High,Severe,Ground,Crack
Building,Beam,160.93,20.59,42.53,Medium,High,None,Fixed Camera,Crack
Tunnel,Deck,116.18,48.54,32.33,Low,High,None,Fixed Camera,Deformation
Building,Column,39.23,6.06,4.52,Medium,Normal,Partial,UAV,Spalling
Bridge,Beam,414.61,13.79,14.54,Low,Low,None,UAV,Corrosion
Bridge,Deck,131.0,24.87,76.64,High,High,Partial,UAV,Corrosion
Bridge,Surface,239.15,41.92,2.79,High,Low,None,UAV,Healthy
Road,Deck,26.44,8.6,93.49,Medium,Normal,Severe,Ground,Healthy
Tunnel,Column,351.17,14.21,9.56,Low,Low,Severe,Fixed Camera,Spalling
Bridge,Wall,168.63,3.76,80.12,Low,High,Severe,Ground,Spalling
Bridge,Deck,373.64,35.45,89.96,High,Low,None,Fixed Camera,Deformation
Tunnel,Wall,209.14,12.29,94.17,Medium,Low,None,Ground,Deformation
Bridge,Surface,101.9,19.74,86.88,Medium,Normal,Partial,UAV,Corrosion
Building,Deck,259.02,22.46,29.47,Low,Normal,Partial,Fixed Camera,Crack
Tunnel,Beam,69.6,44.62,33.98,Medium,Normal,Partial,UAV,Deformation
Tunnel,Wall,223.07,20.86,43.23,Medium,Normal,Partial,Fixed Camera,Crack
Tunnel,Surface,162.07,7.69,14.79,Medium,Low,None,Fixed Camera,Crack
Building,Beam,456.42,26.45,3.2,Medium,Low,None,UAV,Deformation
Tunnel,Beam,35.16,48.17,87.04,High,Normal,Partial,UAV,Spalling
Building,Beam,348.54,30.58,55.86,Low,Normal,None,UAV,Healthy
Tunnel,Beam,95.46,49.18,61.26,Low,High,None,Ground,Corrosion
Road,Deck,162.93,42.13,92.77,Medium,High,None,Fixed Camera,Healthy
Bridge,Deck,210.68,2.28,66.85,Low,Normal,None,Fixed Camera,Corrosion
Road,Deck,454.47,33.09,69.39,High,Low,Partial,Fixed Camera,Deformation
Bridge,Surface,125.08,14.69,78.91,Medium,Normal,Partial,UAV,Corrosion
Building,Surface,50.2,28.2,12.52,High,Low,None,Fixed Camera,Crack
Road,Surface,162.75,14.33,36.66,Medium,Low,Severe,Fixed Camera,Corrosion
Tunnel,Column,56.81,17.77,96.85,Low,High,Partial,UAV,Deformation
Bridge,Surface,68.66,46.2,92.37,Low,Normal,Partial,UAV,Crack
Bridge,Deck,289.06,10.73,88.52,High,Normal,Severe,Fixed Camera,Spalling
Road,Deck,35.15,43.77,45.76,Low,Low,Partial,Ground,Crack
Building,Column,20.31,2.01,85.86,Medium,Normal,Severe,UAV,Crack
Road,Column,358.63,5.0,5.79,High,High,Severe,Ground,Spalling
Building,Surface,184.02,42.81,15.7,Low,High,None,Ground,Healthy
Building,Wall,67.06,31.71,41.98,Low,Normal,Partial,Ground,Corrosion
Bridge,Column,130.54,37.49,48.86,Medium,Normal,Severe,Ground,Spalling
Road,Beam,322.83,10.87,27.09,High,High,None,UAV,Healthy
Road,Deck,141.39,27.09,36.29,Low,Normal,Partial,Fixed Camera,Spalling
Building,Beam,249.79,36.99,17.11,High,Low,None,Fixed Camera,Spalling
Road,Deck,65.24,31.55,49.42,Medium,Normal,None,UAV,Crack
Tunnel,Deck,296.11,23.85,79.59,High,Low,Severe,UAV,Corrosion
Tunnel,Column,161.46,48.01,66.47,Low,Normal,Partial,Ground,Corrosion
Road,Column,315.35,33.97,11.67,Low,Normal,None,Ground,Corrosion
Road,Beam,405.16,45.43,49.27,High,High,Severe,UAV,Deformation
Building,Deck,307.76,36.62,70.07,High,Low,Severe,Fixed Camera,Corrosion
Tunnel,Beam,151.4,36.91,53.46,Medium,High,None,Ground,Crack
Tunnel,Wall,131.59,4.46,39.78,Medium,Normal,None,UAV,Healthy
Bridge,Beam,167.07,18.29,62.57,High,High,Severe,UAV,Spalling
Building,Surface,86.49,42.99,96.9,Low,Normal,None,UAV,Healthy
Bridge,Beam,94.68,12.01,10.4,Medium,Normal,None,Ground,Spalling
Tunnel,Surface,396.39,6.22,39.61,High,Normal,Partial,UAV,Crack
Building,Surface,195.44,16.64,41.25,Low,Low,Severe,Fixed Camera,Spalling
Road,Surface,220.82,11.41,58.12,Low,Low,None,UAV,Spalling
Building,Wall,299.05,46.3,16.07,High,Low,Severe,Ground,Crack
Road,Beam,296.88,43.46,18.49,Low,High,Partial,Fixed Camera,Corrosion
Road,Beam,38.35,25.23,29.25,Low,Normal,Severe,Fixed Camera,Corrosion
Building,Wall,416.61,3.54,95.63,High,High,Severe,UAV,Spalling
Road,Deck,92.78,35.87,73.68,Medium,High,Severe,UAV,Crack
Bridge,Column,362.92,31.36,66.51,High,Normal,Partial,Fixed Camera,Spalling
Tunnel,Beam,387.47,48.54,81.88,High,High,Partial,UAV,Crack
Road,Column,358.88,28.17,13.63,Low,Normal,Severe,Ground,Corrosion
Bridge,Wall,291.59,17.15,86.07,Low,Normal,Severe,Fixed Camera,Crack
Road,Deck,12.23,26.19,59.89,Low,Normal,Partial,UAV,Crack
Tunnel,Deck,183.39,48.97,34.2,Low,Normal,None,Fixed Camera,Corrosion
Bridge,Deck,304.4,34.97,81.77,Medium,High,Partial,UAV,Crack
Tunnel,Wall,196.79,33.76,80.45,Medium,High,Severe,UAV,Corrosion
Tunnel,Surface,432.42,12.41,84.73,Medium,High,None,Ground,Healthy
Bridge,Surface,157.86,37.31,12.44,Low,Low,None,UAV,Spalling
Bridge,Column,150.3,37.64,96.97,Low,High,None,UAV,Spalling
Bridge,Surface,136.67,16.21,96.0,Medium,High,Partial,UAV,Healthy
Building,Surface,169.73,24.44,36.39,Medium,Low,Partial,Ground,Healthy
Bridge,Deck,280.92,15.08,7.52,Low,Normal,Partial,UAV,Healthy
Bridge,Deck,354.97,13.31,17.54,Medium,Normal,Partial,UAV,Crack
Bridge,Column,332.97,1.78,99.29,Low,Normal,Severe,UAV,Spalling
Bridge,Beam,404.82,14.62,56.74,Low,Low,None,Fixed Camera,Deformation
Road,Column,443.53,27.92,36.31,Medium,High,Severe,Ground,Deformation
Building,Column,408.96,0.58,29.53,Low,High,Partial,Fixed Camera,Spalling
Tunnel,Wall,14.38,14.52,26.44,Medium,High,Partial,Ground,Crack
Bridge,Wall,369.28,44.13,66.75,Low,High,Severe,Ground,Healthy
Road,Column,108.16,29.89,42.52,Low,Low,None,Fixed Camera,Corrosion
Road,Column,70.8,30.59,96.58,Low,High,None,Ground,Corrosion
Road,Column,321.05,20.47,68.7,High,Normal,Partial,Ground,Corrosion
Tunnel,Surface,163.27,33.99,79.41,Medium,Low,Partial,Fixed Camera,Corrosion
Bridge,Wall,33.27,9.9,29.98,High,Low,Partial,UAV,Crack
Building,Column,73.13,41.03,8.84,Medium,Normal,Partial,Ground,Corrosion
Building,Deck,5.46,6.28,49.29,Medium,Normal,None,Fixed Camera,Healthy
Road,Deck,452.1,32.97,32.14,Low,High,Severe,Ground,Corrosion
Tunnel,Surface,17.19,17.39,21.01,Low,Normal,None,Fixed Camera,Spalling
Tunnel,Surface,108.68,37.5,95.31,Low,Low,Severe,UAV,Deformation
Tunnel,Beam,211.05,27.71,44.95,Low,Low,Partial,Ground,Spalling
Building,Beam,181.5,22.89,18.3,Medium,Low,Partial,UAV,Corrosion
Road,Beam,456.3,8.89,20.67,Low,High,Severe,UAV,Spalling
Bridge,Surface,24.94,32.02,28.79,Low,High,Partial,Fixed Camera,Crack
Building,Surface,258.55,48.75,99.93,Low,Normal,None,Ground,Crack
Road,Surface,341.84,41.37,27.53,Medium,High,Partial,Ground,Deformation
Road,Deck,466.19,3.47,33.55,Medium,High,Partial,Ground,Healthy
Bridge,Surface,312.08,19.12,66.27,High,Low,Partial,Ground,Deformation
Bridge,Deck,402.86,46.32,30.1,Low,Low,Partial,Ground,Crack
Bridge,Beam,46.44,25.4,22.36,Low,Normal,None,Fixed Camera,Corrosion
Tunnel,Beam,196.04,33.27,16.71,Low,Low,Severe,Ground,Crack
Bridge,Beam,190.1,45.67,31.96,High,High,Partial,UAV,Spalling
Road,Column,443.71,43.75,11.49,Low,Normal,Partial,UAV,Crack
Bridge,Column,79.93,25.34,2.85,Medium,Normal,None,Ground,Healthy
